character,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality
克洛琳德,0.11224489795918366,0.11224489795918366,0.35,0.009932919228212113,0.08257730950633964
夏沃蕾,0.0510204081632653,0.11224489795918366,0.2776203966005666,0.0015278779093762043,0.03320656147816581
希格雯,0.061224489795918366,0.11224489795918366,0.2996941896024465,0.006260682448629464,0.04221358868439572
莱欧斯利,0.1020408163265306,0.08163265306122448,0.35766423357664234,0.006715817672109926,0.07567570452570324
卡齐娜,0.07142857142857142,0.07142857142857142,0.22897196261682243,0.00011253736795499892,0.00407895801787867
伊安珊,0.09183673469387754,0.07142857142857142,0.27450980392156865,0.00364542797945659,0.0058401475300166724
恰斯卡,0.07142857142857142,0.08163265306122448,0.22897196261682243,8.265456403474496e-05,0.003759212578819998
伊法,0.07142857142857142,0.08163265306122448,0.22897196261682243,0.008168483689207444,0.003759212578819998
希诺宁,0.1020408163265306,0.09183673469387754,0.2752808988764045,0.00782696509411098,0.006187743880499467
基尼奇,0.1020408163265306,0.09183673469387754,0.2752808988764045,0.007885639225769252,0.006187743880499467
玛拉妮,0.09183673469387754,0.1020408163265306,0.2890855457227139,0.023172833906274403,0.007054918531417232
茜特菈莉,0.1020408163265306,0.08163265306122448,0.2752808988764045,0.02478853556567454,0.006187743880499467
玛薇卡,0.1020408163265306,0.11224489795918366,0.28994082840236685,0.030720714175887072,0.0072456167768768925
欧洛伦,0.04081632653061224,0.07142857142857142,0.2273781902552204,9.208245059286507e-05,0.002382123332231917
